HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
128.199.121.61:9090,4259.56,,,,,,,
116.103.132.205:1028,4760.03,,,,,,,
139.162.78.109:3128,2129.39,,,,,,,
128.199.113.85:9090,5066.29,,,,,,,
138.68.60.8:3128,3283.46,,,,,,,
15.223.201.106:3128,1320.21,,,,,,,
15.223.115.238:1080,1464.99,,,,,,,
147.28.240.215:9401,1766.07,,,,,,,
147.28.240.218:9401,1818.39,,,,,,,
147.28.240.216:9400,1882.8,,,,,,,
15.237.182.89:3128,1768.69,,,,,,,
147.28.240.215:443,2055.31,,,,,,,
147.28.240.215:80,1978.75,,,,,,,
147.28.240.215:9400,2062.13,,,,,,,
147.28.240.216:9401,1953.83,,,,,,,
147.28.240.218:9443,1918.43,,,,,,,
145.40.96.157:443,2403.72,,,,,,,
147.28.240.217:9443,2143.71,,,,,,,
147.28.240.214:80,2046.87,,,,,,,
147.28.240.214:9401,2164.25,,,,,,,
152.53.194.46:8065,1933.06,,,,,,,
128.199.114.189:9090,6862.07,,,,,,,
147.28.240.217:443,2444.99,,,,,,,
145.40.96.156:443,2672.69,,,,,,,
15.237.53.60:55582,2310.64,,,,,,,
140.238.184.182:3128,4485.31,,,,,,,
147.28.240.218:9400,2309.42,,,,,,,
147.28.240.218:443,2701.27,,,,,,,
147.28.240.216:443,2985.55,,,,,,,
147.28.240.216:9443,2849.85,,,,,,,
147.28.240.215:9443,3037.17,,,,,,,
147.28.240.217:9401,2948.92,,,,,,,
147.28.240.214:9443,3049.37,,,,,,,
115.72.37.174:10010,8027.51,,,,,,,
147.28.240.218:80,3133.05,,,,,,,
147.28.240.214:9400,3223.65,,,,,,,
147.28.240.214:443,3284.48,,,,,,,
147.28.240.217:9400,3647.66,,,,,,,
147.28.240.217:80,3516.41,,,,,,,
152.42.170.187:9090,3749.97,,,,,,,
14.226.7.165:8080,5890.98,,,,,,,
157.175.45.145:7762,2475.25,,,,,,,
147.28.240.216:80,4279.25,,,,,,,
16.51.66.237:3128,2392.76,,,,,,,
16.62.75.166:1080,2446.52,,,,,,,
157.175.84.251:1080,3158.77,,,,,,,
149.86.146.239:8080,5132.03,,,,,,,
16.78.91.177:3128,2733.29,,,,,,,
16.28.61.56:3128,3267.54,,,,,,,
16.51.55.90:8085,3489.38,,,,,,,
16.24.150.247:5678,3599.97,,,,,,,
160.22.198.16:8082,2978.34,,,,,,,
160.22.198.17:8082,3541.65,,,,,,,
160.22.204.224:8085,3426.79,,,,,,,
163.223.78.125:8082,3001.51,,,,,,,
159.255.163.153:47193,5671.86,,,,,,,
161.248.169.202:8080,5475.24,,,,,,,
163.223.78.97:8080,6413.1,,,,,,,
173.209.63.66:8024,1392.2,,,,,,,
173.209.63.66:8159,1670.02,,,,,,,
173.209.63.67:8159,1636.65,,,,,,,
173.209.63.67:8051,1824.58,,,,,,,
173.209.63.68:8236,1604.87,,,,,,,
173.209.63.68:8178,1666.84,,,,,,,
173.209.63.67:8014,1862.19,,,,,,,
173.209.63.66:8229,1889.17,,,,,,,
173.209.63.67:8229,1792.12,,,,,,,
173.209.63.66:8144,1996.91,,,,,,,
173.209.63.68:8128,1749.27,,,,,,,
173.209.63.68:8229,1805.04,,,,,,,
173.209.63.68:8144,1865.2,,,,,,,
173.209.63.68:8063,1958.39,,,,,,,
173.209.63.66:8052,2259.83,,,,,,,
173.209.63.66:8063,2254.67,,,,,,,
173.209.63.70:8059,1632.32,,,,,,,
173.209.63.69:8136,1820.66,,,,,,,
173.209.63.70:8210,1599.06,,,,,,,
173.209.63.68:8021,2075.89,,,,,,,
173.209.63.68:8230,1973.5,,,,,,,
173.209.63.70:8056,1784.35,,,,,,,
173.209.63.69:8056,1955.46,,,,,,,
173.209.63.70:8159,1705.46,,,,,,,
173.209.63.68:8127,2095.37,,,,,,,
173.209.63.67:8052,2274.01,,,,,,,
173.209.63.66:8074,2429.22,,,,,,,
173.209.63.67:8109,2264.16,,,,,,,
173.209.63.67:8125,2263.71,,,,,,,
173.209.63.68:8047,2204.93,,,,,,,
173.209.63.69:8005,2094.09,,,,,,,
173.209.63.70:8040,1937.94,,,,,,,
173.209.63.67:8047,2347.88,,,,,,,
173.209.63.66:8098,2504.08,,,,,,,
173.209.63.67:8021,2396.75,,,,,,,
173.209.63.66:8059,2548.55,,,,,,,
173.209.63.68:8190,2216.9,,,,,,,
173.209.63.68:8211,2210.89,,,,,,,
173.209.63.66:8179,2472.36,,,,,,,
173.209.63.68:8056,2298.39,,,,,,,
173.209.63.67:8105,2409.04,,,,,,,
173.209.63.67:8127,2404.53,,,,,,,
173.209.63.67:8112,2444.23,,,,,,,
173.209.63.67:8220,2390.93,,,,,,,
173.209.63.68:8116,2348.79,,,,,,,
173.209.63.66:8207,2560.61,,,,,,,
173.209.63.70:8211,1954.87,,,,,,,
173.209.63.67:8063,2509.39,,,,,,,
173.209.63.68:8097,2385.77,,,,,,,
173.209.63.69:8062,2269.68,,,,,,,
173.209.63.66:8121,2636.43,,,,,,,
173.209.63.66:8165,2618.37,,,,,,,
173.209.63.70:8072,2105.98,,,,,,,
173.209.63.68:8026,2474.91,,,,,,,
173.209.63.69:8149,2280.22,,,,,,,
173.209.63.66:8010,2791.6,,,,,,,
173.209.63.68:8220,2386.09,,,,,,,
173.209.63.69:8211,2244.23,,,,,,,
173.209.63.66:8109,2719.67,,,,,,,
173.209.63.69:8177,2276.59,,,,,,,
173.209.63.66:8005,2799.22,,,,,,,
173.209.63.67:8022,2632.74,,,,,,,
173.209.63.69:8144,2336.35,,,,,,,
173.209.63.66:8214,2693.35,,,,,,,
173.209.63.70:8178,2117.34,,,,,,,
173.209.63.70:8074,2182.27,,,,,,,
173.209.63.69:8116,2374.12,,,,,,,
173.209.63.69:8027,2425.7,,,,,,,
173.209.63.69:8010,2442.05,,,,,,,
173.209.63.69:8098,2421.88,,,,,,,
177.234.224.75:3128,1029.02,,,,,,,
173.209.63.66:8026,2889.16,,,,,,,
173.209.63.66:8051,2897.88,,,,,,,
173.209.63.68:8027,2623.07,,,,,,,
173.209.63.70:8003,2383.27,,,,,,,
173.209.63.66:8224,2807.94,,,,,,,
173.209.63.69:8074,2513.94,,,,,,,
173.209.63.67:8227,2693.79,,,,,,,
173.209.63.66:8027,2971.61,,,,,,,
173.209.63.66:8127,2923.12,,,,,,,
173.209.63.66:8071,2972.96,,,,,,,
173.209.63.69:8121,2537.61,,,,,,,
173.209.63.66:8061,2987.72,,,,,,,
173.209.63.66:8236,2871.2,,,,,,,
173.209.63.67:8121,2817.79,,,,,,,
173.209.63.70:8054,2441.21,,,,,,,
173.209.63.68:8022,2766.53,,,,,,,
173.209.63.69:8178,2559.28,,,,,,,
173.209.63.70:8125,2380.92,,,,,,,
173.209.63.67:8074,2877.12,,,,,,,
173.209.63.67:8210,2832.07,,,,,,,
173.209.63.69:8127,2616.62,,,,,,,
173.209.63.68:8054,2795.8,,,,,,,
173.209.63.67:8072,2928.47,,,,,,,
173.209.63.67:8097,2928.86,,,,,,,
173.209.63.70:8236,2370.54,,,,,,,
173.209.63.69:8128,2673.12,,,,,,,
173.209.63.70:8169,2441.08,,,,,,,
173.209.63.67:8221,2896.7,,,,,,,
173.209.63.70:8227,2404.0,,,,,,,
173.209.63.70:8026,2598.69,,,,,,,
173.209.63.66:8097,3157.98,,,,,,,
18.188.141.177:3128,385.43,,,,,,,
173.209.63.68:8059,2919.85,,,,,,,
18.208.142.221:1080,393.82,,,,,,,
173.209.63.67:8069,3035.44,,,,,,,
173.209.63.70:8221,2467.33,,,,,,,
173.209.63.70:8022,2673.91,,,,,,,
173.209.63.70:8102,2582.96,,,,,,,
173.209.63.66:8113,3198.83,,,,,,,
173.209.63.66:8011,3283.18,,,,,,,
173.209.63.66:8106,3229.7,,,,,,,
173.209.63.70:8063,2684.61,,,,,,,
173.209.63.68:8179,2984.54,,,,,,,
