HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
52.90.223.247:1080,1252.47,,,,,,,
49.149.173.33:8082,2837.16,,,,,,,
51.44.86.217:3128,1335.57,,,,,,,
49.48.113.182:8081,3075.29,,,,,,,
49.156.20.86:8082,3209.1,,,,,,,
49.65.127.215:3128,3183.87,,,,,,,
52.198.162.123:3128,1666.83,,,,,,,
54.180.135.57:8082,1885.58,,,,,,,
45.70.201.64:999,5867.41,,,,,,,
49.65.124.192:3128,3623.93,,,,,,,
57.129.81.201:8081,1979.26,,,,,,,
51.20.103.83:8080,2195.79,,,,,,,
56.124.22.247:3128,2112.4,,,,,,,
54.254.196.68:3128,2284.29,,,,,,,
52.29.191.183:3128,2341.94,,,,,,,
51.96.146.34:3128,2482.04,,,,,,,
51.16.245.198:3128,2384.99,,,,,,,
45.175.155.14:999,6902.93,,,,,,,
58.69.182.53:8085,2392.71,,,,,,,
61.16.118.114:3128,2392.94,,,,,,,
62.193.108.135:1981,2161.79,,,,,,,
54.179.84.81:1080,2590.16,,,,,,,
51.92.210.224:3128,2705.36,,,,,,,
49.48.80.92:8081,4176.87,,,,,,,
49.0.33.133:27039,4461.32,,,,,,,
54.180.135.57:8888,2971.34,,,,,,,
57.129.81.201:8080,2944.33,,,,,,,
51.16.46.18:3128,2866.86,,,,,,,
57.129.81.201:999,2968.49,,,,,,,
58.136.86.242:8080,2891.86,,,,,,,
47.90.205.231:33333,4831.53,,,,,,,
57.129.81.201:3128,3127.05,,,,,,,
49.145.250.136:8082,4907.23,,,,,,,
46.161.194.88:8085,5710.12,,,,,,,
47.251.43.115:33333,5424.55,,,,,,,
66.94.113.79:3128,2300.24,,,,,,,
62.234.206.73:3128,3456.44,,,,,,,
51.159.159.73:80,3996.23,,,,,,,
51.161.209.7:6596,4081.54,,,,,,,
67.43.236.18:33009,2537.8,,,,,,,
67.43.228.250:32499,3018.62,,,,,,,
8.209.228.207:3128,1857.5,,,,,,,
58.136.52.70:8081,4797.99,,,,,,,
58.186.92.98:16000,4823.69,,,,,,,
58.186.92.156:16000,4927.7,,,,,,,
8.154.44.216:8082,2170.3,,,,,,,
70.36.99.51:3128,2992.39,,,,,,,
58.147.186.31:3125,5319.93,,,,,,,
67.43.228.250:15357,3903.59,,,,,,,
77.242.98.39:8080,2726.69,,,,,,,
87.107.12.112:3128,2557.46,,,,,,,
99.79.33.160:8080,788.42,,,,,,,
98.81.216.36:3128,831.63,,,,,,,
64.157.16.89:8080,4756.09,,,,,,,
89.58.45.94:34329,2131.14,,,,,,,
58.186.92.227:16000,5702.53,,,,,,,
89.208.32.241:8080,2493.84,,,,,,,
72.10.160.172:25161,3409.31,,,,,,,
67.43.236.18:26309,3942.99,,,,,,,
62.60.236.119:3128,5646.96,,,,,,,
proxyma.ddns.net:3128,1356.2,,,,,,,
68.225.17.237:4228,4232.52,,,,,,,
47.252.29.28:11222,8232.66,,,,,,,
96.30.71.123:8081,1904.2,,,,,,,
98.130.85.46:3128,1943.76,,,,,,,
47.88.18.204:8023,8557.58,,,,,,,
94.228.204.203:8080,2120.22,,,,,,,
72.10.160.90:4597,4578.56,,,,,,,
85.117.61.70:8080,4213.83,,,,,,,
85.119.120.55:8080,4244.38,,,,,,,
82.138.55.83:8080,4303.85,,,,,,,
96.93.124.211:31060,2685.71,,,,,,,
80.110.46.203:13001,4920.34,,,,,,,
88.1.159.1:3128,4827.18,,,,,,,
94.156.112.198:3128,3139.65,,,,,,,
85.133.240.75:8080,5867.89,,,,,,,
8.219.97.248:80,6055.9,,,,,,,
