Proxy,Timestamp,Score,Success
108.61.23.18:80,1755020862,0.05,1
108.61.23.18:80,1755020862,0.15,1
108.61.23.18:80,1755020862,0.04,1
138.197.155.38:80,1755020862,3.70,1
138.197.155.38:80,1755020862,1.08,1
192.241.147.174:80,1755020862,1.94,1
104.131.103.230:80,1755020862,1.50,1
104.131.103.230:80,1755020862,0.38,1
35.230.115.171:8080,1755020862,0.00,0
198.199.86.11:80,1755020862,0.00,0
198.199.86.11:80,1755020862,0.00,0
198.199.86.11:80,1755020862,0.00,0
18.135.100.214:3128,1755020862,0.00,1
18.135.100.214:3128,1755020862,0.00,1
18.135.100.214:3128,1755020862,0.00,1
37.120.189.106:80,1755020862,0.01,1
139.162.78.109:3128,1755020862,0.00,0
136.175.9.86:8083,1755020862,0.00,0
136.175.9.84:8087,1755020862,0.00,0
136.175.9.85:8084,1755020862,0.00,0
18.130.202.43:3128,1755020862,0.00,0
139.59.213.145:80,1755020862,0.37,1
5.9.88.169:80,1755020862,0.04,1
5.9.88.169:80,1755020862,0.08,1
16.163.88.228:80,1755020862,0.00,1
101.132.222.120:80,1755020862,0.00,0
101.132.222.120:80,1755020862,0.00,0
101.132.222.120:80,1755020862,0.00,0
39.101.161.223:8090,1755020862,0.00,0
39.101.161.223:8090,1755020862,0.00,0
47.96.70.163:8082,1755020862,0.00,0
112.126.68.169:8384,1755020862,0.00,0
45.134.14.181:1080,1755020862,0.00,0
45.134.14.181:1080,1755020862,0.00,0
47.92.242.45:8118,1755020862,0.00,0
47.92.242.45:8118,1755020862,0.00,0
47.92.242.45:8118,1755020862,0.00,0
47.92.248.86:8080,1755020862,0.00,0
13.48.138.241:3129,1755020862,0.00,0
13.48.138.241:3129,1755020862,0.00,0
101.200.187.233:8080,1755020862,0.00,0
101.200.187.233:8080,1755020862,0.00,0
13.49.64.201:3128,1755020862,0.00,0
13.49.64.201:3128,1755020862,0.00,0
15.237.216.241:8085,1755020862,0.00,0
15.237.216.241:8085,1755020862,0.00,0
109.95.220.45:8080,1755020862,0.00,0
18.101.22.36:1080,1755020862,0.00,0
18.101.22.36:1080,1755020862,0.00,0
15.237.182.89:8085,1755020862,0.00,0
15.237.182.89:8085,1755020862,0.00,0
15.237.182.89:3128,1755020862,0.00,0
15.237.182.89:3128,1755020862,0.00,0
35.152.106.51:8080,1755020862,0.00,0
18.208.142.221:1080,1755020862,0.00,0
18.208.142.221:1080,1755020862,0.00,0
34.228.23.120:3128,1755020862,0.00,0
18.231.246.132:3128,1755020862,0.00,0
18.231.246.132:3128,1755020862,0.00,0
113.108.13.120:8083,1755020862,0.00,0
3.142.201.147:3128,1755020862,0.00,0
3.142.201.147:3128,1755020862,0.00,0
65.108.203.35:18080,1755020862,0.00,0
103.231.78.36:80,1755020862,0.00,0
103.231.78.36:80,1755020862,0.00,0
15.223.115.238:1080,1755020862,0.00,0
15.223.115.238:1080,1755020862,0.00,0
35.181.65.119:3128,1755020862,0.00,0
173.209.63.66:8112,1755020862,0.00,0
13.244.64.166:3128,1755020862,0.00,0
34.219.59.199:52541,1755020862,0.00,0
34.219.59.199:52541,1755020862,0.00,0
72.10.164.178:18623,1755020862,0.00,0
18.226.170.181:26374,1755020862,0.00,0
36.138.53.26:10019,1755020862,0.00,0
36.138.53.26:10019,1755020862,0.00,0
103.63.190.72:8080,1755020862,0.00,0
18.226.170.181:8103,1755020862,0.00,0
109.191.155.209:8081,1755020862,0.00,0
109.191.155.209:8081,1755020862,0.00,0
180.103.19.246:1080,1755020862,0.00,0
185.151.29.96:3128,1755020862,0.00,0
156.67.214.232:80,1755020862,0.00,1
171.244.5.173:3129,1755020862,0.00,0
119.3.113.150:9094,1755020862,0.00,0
119.3.113.150:9094,1755020862,0.00,0
104.129.194.45:10801,1755020862,0.02,1
104.129.194.45:10801,1755020862,0.02,1
34.219.67.137:8081,1755020862,0.00,0
43.130.52.194:8118,1755020862,0.00,0
188.191.165.159:8080,1755020862,0.00,0
188.191.165.159:8080,1755020862,0.00,0
4.156.78.45:80,1755020862,1.95,1
4.156.78.45:80,1755020862,0.12,1
4.156.78.45:80,1755020862,0.75,1
3.67.92.255:3128,1755020862,0.00,0
3.67.92.255:3128,1755020862,0.00,0
136.47.167.209:8118,1755020862,0.00,0
13.246.36.36:1080,1755020862,0.00,0
13.246.36.36:1080,1755020862,0.00,0
113.160.132.195:8080,1755020862,0.00,0
113.160.132.195:8080,1755020862,0.00,0
165.225.72.38:10801,1755020862,0.00,1
117.74.65.207:443,1755020862,0.00,0
117.74.65.207:443,1755020862,0.00,1
117.74.65.207:443,1755020862,0.00,0
82.102.10.253:80,1755020862,1.63,1
42.180.0.58:6182,1755020862,0.00,0
42.180.0.58:6182,1755020862,0.00,0
34.245.122.113:55829,1755020862,0.00,0
18.100.145.231:3128,1755020862,0.00,0
13.232.122.43:1080,1755020862,0.00,0
34.245.122.113:8080,1755020862,0.00,0
91.241.217.58:9090,1755020862,0.00,0
135.181.154.225:80,1755020862,0.00,0
135.181.154.225:80,1755020862,0.00,0
152.53.107.230:80,1755020862,1.33,1
67.43.236.20:18749,1755020862,0.00,0
72.10.164.178:25757,1755020862,0.00,0
77.110.114.116:8080,1755020862,0.00,0
77.110.114.116:8080,1755020862,0.00,0
3.29.58.203:1080,1755020862,0.00,0
3.29.58.203:1080,1755020862,0.00,0
117.72.95.105:1080,1755020862,0.00,0
123.128.12.93:9050,1755020862,0.00,0
36.138.53.26:10017,1755020862,0.00,0
36.138.53.26:10017,1755020862,0.00,0
36.138.53.26:10017,1755020862,0.00,0
3.29.58.203:59143,1755020862,0.00,0
3.29.58.203:59143,1755020862,0.00,0
123.128.12.93:9055,1755020862,0.00,0
123.128.12.93:9055,1755020862,0.00,0
120.26.0.11:8880,1755020862,0.00,0
18.231.59.51:3128,1755020862,0.00,0
18.231.59.51:3128,1755020862,0.00,0
167.99.122.154:3000,1755020862,0.00,1
167.99.122.154:3000,1755020862,0.01,1
171.237.60.177:10006,1755020862,0.00,0
171.237.60.177:10006,1755020862,0.00,0
152.26.229.52:9443,1755020862,0.83,1
152.26.229.52:9443,1755020862,0.90,1
45.239.175.60:8080,1755020862,0.00,0
103.65.237.92:5678,1755020862,0.00,0
103.65.237.92:5678,1755020862,0.00,0
16.171.60.188:3128,1755020862,0.00,0
85.117.56.151:8080,1755020862,0.00,1
85.117.56.151:8080,1755020862,0.00,1
136.175.9.85:8081,1755020862,0.63,1
79.110.202.131:8081,1755020862,0.00,0
4.245.123.244:80,1755020862,0.60,1
4.245.123.244:80,1755020862,0.65,1
23.237.210.82:80,1755020862,0.60,1
23.237.210.82:80,1755020862,1.27,1
23.237.210.82:80,1755020862,0.98,1
43.128.87.252:443,1755020862,0.00,0
8.219.167.110:8082,1755020862,0.00,1
8.219.167.110:8082,1755020862,0.00,0
84.39.112.144:3128,1755020862,0.00,0
110.238.116.82:8015,1755020862,0.00,1
202.154.18.129:8080,1755020862,0.00,1
136.175.9.84:8084,1755020862,0.44,1
51.44.86.217:3128,1755020862,0.00,0
213.136.87.65:80,1755020862,0.05,1
136.175.9.86:8084,1755020862,0.39,1
39.106.192.29:8443,1755020862,0.00,0
13.40.30.235:58831,1755020862,0.00,0
34.216.224.9:10003,1755020862,0.00,0
43.128.87.252:80,1755020862,0.00,0
116.98.181.51:1015,1755020862,0.00,0
152.53.168.53:18807,1755020862,0.00,0
46.219.2.5:80,1755020862,0.00,0
46.219.2.5:80,1755020862,0.00,0
147.28.240.214:443,1755020862,0.34,1
18.143.167.190:18276,1755020862,0.00,0
40.176.45.160:10888,1755020862,0.00,0
63.250.32.221:3128,1755020862,0.27,1
8.219.43.134:8181,1755020862,0.00,1
190.103.177.131:80,1755020862,0.26,1
190.103.177.131:80,1755020862,0.15,1
190.103.177.131:80,1755020862,0.00,0
18.143.167.190:9898,1755020862,0.00,0
116.49.72.189:8888,1755020862,0.25,1
147.28.240.214:80,1755020862,0.25,1
147.28.240.214:80,1755020862,0.15,1
77.242.98.39:8080,1755020862,0.00,0
77.242.98.39:8080,1755020862,0.00,0
157.175.42.134:1234,1755020862,0.00,0
147.28.240.214:9401,1755020862,0.20,1
173.209.63.70:8126,1755020862,0.00,0
18.143.173.102:21681,1755020862,0.00,0
47.243.124.21:4040,1755020862,0.00,1
47.243.124.21:4040,1755020862,0.00,0
158.255.77.169:80,1755020862,0.00,0
103.70.93.77:8097,1755020862,0.00,1
116.63.130.30:30001,1755020862,0.00,1
74.48.189.152:2580,1755020862,0.20,1
125.103.83.163:8118,1755020862,0.16,1
181.174.164.221:80,1755020862,0.15,1
181.174.164.221:80,1755020862,0.00,0
181.174.164.221:80,1755020862,0.11,1
93.171.157.249:8080,1755020862,0.00,0
39.108.88.42:80,1755020862,0.00,0
200.174.198.86:8888,1755020862,0.00,0
101.32.244.83:8083,1755020862,0.13,1
157.175.196.63:10888,1755020862,0.00,0
123.159.126.158:8085,1755020862,0.00,0
123.141.181.3:5031,1755020862,0.12,1
216.10.253.97:80,1755020862,0.00,1
103.138.145.34:80,1755020862,0.10,1
152.53.168.53:58841,1755020862,0.10,1
103.63.190.165:8080,1755020862,0.10,1
47.91.110.148:9999,1755020862,0.00,0
47.120.0.231:8081,1755020862,0.00,0
8.215.15.163:104,1755020862,0.00,0
34.100.253.96:80,1755020862,0.00,0
179.1.203.76:999,1755020862,0.00,0
47.91.115.179:1081,1755020862,0.00,0
8.220.136.174:20000,1755020862,0.00,0
47.116.126.57:9098,1755020862,0.00,0
39.101.65.228:8090,1755020862,0.00,0
39.104.57.33:8080,1755020862,0.00,0
47.91.110.148:8181,1755020862,0.00,0
39.102.214.199:8080,1755020862,0.00,0
179.1.151.22:999,1755020862,0.00,0
39.102.214.192:10000,1755020862,0.00,0
39.104.69.76:8090,1755020862,0.00,0
8.215.15.163:1080,1755020862,0.00,0
8.220.136.174:30001,1755020862,0.00,0
47.109.110.100:8008,1755020862,0.00,0
47.108.159.113:9098,1755020862,0.00,0
47.91.115.179:8443,1755020862,0.00,0
8.220.136.174:9002,1755020862,0.00,0
39.104.57.33:9098,1755020862,0.00,0
47.109.110.100:80,1755020862,0.00,0
8.220.136.174:6379,1755020862,0.00,0
116.132.0.134:8060,1755020862,0.00,0
39.101.65.228:8123,1755020862,0.00,0
39.102.214.192:3128,1755020862,0.00,0
39.104.69.76:9080,1755020862,0.00,0
39.101.65.228:8989,1755020862,0.00,0
39.104.57.33:8888,1755020862,0.00,0
47.91.115.179:9091,1755020862,0.00,0
171.237.60.177:10001,1755020862,0.00,0
171.237.60.177:10001,1755020862,0.00,0
8.220.136.174:2000,1755020862,0.00,0
47.121.129.129:3128,1755020862,0.00,0
8.220.136.174:8443,1755020862,0.00,0
39.101.65.228:8118,1755020862,0.00,0
41.65.71.141:1976,1755020862,0.00,0
39.102.213.213:8089,1755020862,0.00,0
39.102.214.199:8095,1755020862,0.00,0
47.104.27.165:8443,1755020862,0.00,0
47.120.0.231:1081,1755020862,0.00,0
39.101.65.228:9080,1755020862,0.00,0
39.101.65.228:8282,1755020862,0.00,0
38.7.18.50:999,1755020862,0.00,0
39.102.214.199:7777,1755020862,0.00,0
103.230.48.110:8082,1755020862,0.00,0
47.91.115.179:9098,1755020862,0.00,0
47.109.110.100:3128,1755020862,0.00,0
47.104.28.135:9080,1755020862,0.00,0
47.116.210.163:8080,1755020862,0.00,0
39.104.69.76:8800,1755020862,0.00,0
39.102.208.189:9098,1755020862,0.00,0
47.91.115.179:8090,1755020862,0.00,0
145.40.96.156:9401,1755020862,0.00,0
39.100.88.89:80,1755020862,0.00,0
47.109.83.196:9080,1755020862,0.00,0
47.91.121.127:194,1755020862,0.00,0
39.102.214.199:9098,1755020862,0.00,0
47.109.110.100:8089,1755020862,0.00,0
39.102.214.199:9999,1755020862,0.00,0
39.102.214.199:9080,1755020862,0.00,0
8.220.136.174:8080,1755020862,0.00,0
39.102.214.199:41890,1755020862,0.00,0
47.109.83.196:9098,1755020862,0.00,0
47.109.83.196:9098,1755020862,0.00,0
39.100.88.89:8443,1755020862,0.00,0
