HTTP Proxy,Latency (ms),,SOCKS4 Proxy,Latency (ms),,SOCKS5 Proxy,Latency (ms)
115.72.4.186:10008,6984.35,,37.18.73.60:5566,3260.18,,45.146.130.45:8136,3696.92,
118.194.249.77:8080,2147.33,,37.52.50.28:5678,3461.71,,45.146.130.43:4518,3850.64,
115.72.44.82:10010,7280.88,,36.66.203.163:5678,4896.47,,45.61.188.134:44499,4587.19,
115.74.5.48:10006,7151.42,,39.108.80.57:1080,3224.13,,45.79.203.254:48388,5264.84,
117.68.110.16:9443,4212.25,,43.230.196.98:48200,5691.65,,47.116.185.185:1080,3198.68,
115.72.44.82:10006,9665.41,,45.115.115.37:9090,5893.37,,47.238.220.188:1024,7172.86,
120.77.8.130:3128,3533.19,,45.61.188.134:44499,4377.35,,57.129.81.201:1080,3399.82,
121.130.177.28:8888,3420.86,,46.188.2.42:5678,3363.17,,58.35.146.82:9999,3790.24,
121.43.150.231:3128,3672.32,,47.176.213.210:39593,3193.14,,47.239.247.138:1111,10653.98,
13.216.247.146:3128,1418.09,,47.116.185.185:1080,3523.45,,47.91.25.94:8888,7986.26,
123.128.12.93:9055,4981.63,,46.36.65.117:1080,4226.53,,64.227.131.240:1080,3761.15,
13.48.138.241:3129,1556.93,,74.56.228.180:4145,3319.09,,78.85.204.154:1080,2835.09,
128.199.120.45:9090,2527.71,,92.119.74.228:5678,2670.66,,8.163.16.174:80,2921.45,
13.244.109.252:3129,2140.33,,97.74.237.222:45219,1171.78,,51.158.113.139:16379,9573.96,
13.125.7.17:4286,2409.61,,95.31.35.210:3629,2755.09,,84.17.27.253:9105,1793.82,
124.222.42.171:3128,4072.29,,92.42.8.20:4145,4441.38,,8.217.227.171:8888,4762.84,
13.232.122.43:1080,2345.57,,94.182.199.250:8080,3919.43,,8.217.227.171:1111,4795.18,
13.212.182.108:3128,2500.72,,96.36.50.99:39593,4823.81,,8.219.172.7:1024,5082.61,
128.199.253.195:9090,2788.69,,,,,8.222.249.27:1111,4549.96,
13.211.233.22:36619,2598.52,,,,,8.217.227.171:1024,5827.1,
13.244.66.17:3128,2638.48,,,,,89.169.36.109:1080,2690.06,
128.199.116.219:9090,3631.43,,,,,8.222.249.27:33333,5355.19,
128.199.114.189:9090,4021.79,,,,,85.143.254.38:1080,3520.09,
13.49.64.201:3128,3549.42,,,,,88.198.150.134:60735,3460.7,
134.209.29.120:3128,2829.72,,,,,8.219.119.119:1111,7122.48,
13.212.81.49:45438,4094.16,,,,,8.222.162.12:1024,8733.71,
13.244.64.166:3128,4135.64,,,,,,,
125.167.191.182:8080,5811.84,,,,,,,
138.68.60.8:80,2299.41,,,,,,,
14.241.111.97:8080,6187.29,,,,,,,
14.241.39.169:8080,7561.65,,,,,,,
15.204.151.143:31158,1448.06,,,,,,,
145.40.96.156:9400,2910.83,,,,,,,
145.40.96.156:443,3453.4,,,,,,,
147.28.240.214:443,2980.55,,,,,,,
15.204.151.142:31158,2257.18,,,,,,,
147.28.240.214:9443,3159.3,,,,,,,
147.28.240.214:9400,3330.23,,,,,,,
152.53.194.46:8039,1288.01,,,,,,,
147.28.240.214:80,3721.66,,,,,,,
15.223.115.238:1080,2765.95,,,,,,,
145.40.96.156:9401,5154.61,,,,,,,
144.48.162.123:8080,5872.9,,,,,,,
152.53.168.53:32379,3266.02,,,,,,,
152.53.168.53:11947,3308.8,,,,,,,
152.53.168.53:18807,3299.94,,,,,,,
155.204.212.20:80,1745.87,,,,,,,
152.53.168.53:49093,4067.12,,,,,,,
152.53.168.53:47240,4091.52,,,,,,,
152.53.168.53:57059,4211.56,,,,,,,
152.53.168.53:16821,4374.0,,,,,,,
157.175.40.233:3128,2057.4,,,,,,,
157.175.196.122:3129,2100.07,,,,,,,
159.203.61.169:80,1912.41,,,,,,,
16.28.61.56:3128,2857.22,,,,,,,
157.180.121.252:29021,4159.24,,,,,,,
157.180.121.252:41795,4469.79,,,,,,,
16.51.157.105:8080,3626.84,,,,,,,
157.66.198.193:39189,4542.38,,,,,,,
157.10.89.203:8880,5052.65,,,,,,,
157.66.50.147:8080,6815.9,,,,,,,
161.49.210.196:10101,5610.53,,,,,,,
165.16.46.193:8080,4153.24,,,,,,,
167.172.49.33:3128,1540.39,,,,,,,
171.237.60.177:10007,4999.7,,,,,,,
171.231.115.81:7010,6985.6,,,,,,,
173.209.63.67:8016,4748.06,,,,,,,
173.209.63.66:8171,5914.15,,,,,,,
177.234.224.75:3128,2459.75,,,,,,,
